scheme,category_code,label,valence,in_confirmatory_family,justification
Bales IPA,bgivesug,gives suggestion,neutral/excluded,False,"Bales' TASK area (categories 4-9), explicitly distinguished by Bales (1950) from the SOCIOEMOTIONAL area (1-3, 10-12) used below."
Bales IPA,baskinfo,asks information,neutral/excluded,False,"Bales' TASK area (categories 4-9), explicitly distinguished by Bales (1950) from the SOCIOEMOTIONAL area (1-3, 10-12) used below."
Bales IPA,baskopin,asks opinion,neutral/excluded,False,"Bales' TASK area (categories 4-9), explicitly distinguished by Bales (1950) from the SOCIOEMOTIONAL area (1-3, 10-12) used below."
Bales IPA,basksug,asks suggestion,neutral/excluded,False,"Bales' TASK area (categories 4-9), explicitly distinguished by Bales (1950) from the SOCIOEMOTIONAL area (1-3, 10-12) used below."
Bales IPA,bsolid,shows solidarity,positive,True,"Bales (1950) socioemotional-positive category 1: raises other's status, gives help, reward."
Bales IPA,btension,"shows tension release (jokes, laughs)",positive,True,"Bales (1950) socioemotional-positive category 2: jokes, laughs, shows satisfaction - the closest direct proxy in this program's coded data to humor/laughter."
Bales IPA,bagree,agrees,positive,True,"Bales (1950) socioemotional-positive category 3: shows passive acceptance, understands, concurs, complies - relational warmth, not mere epistemic convergence (contrast IAM 'iam5')."
Bales IPA,bdisagree,disagrees,negative,True,"Bales (1950) socioemotional-negative category 10: shows passive rejection, withholds help."
Bales IPA,btensh,shows tension,negative,True,"Bales (1950) socioemotional-negative category 11: asks for help, withdraws, shows anxiety."
Bales IPA,bantag,shows antagonism,negative,True,"Bales (1950) socioemotional-negative category 12: deflates other's status, defends/asserts self, shows hostility - the clearest conflict marker in the coded data."
act4teams-SHORT,namep,names problem,neutral/excluded,False,"functional/procedural content category (Klunder et al. 2020, Table 1); not an affect-display code."
act4teams-SHORT,linkp,links problem,neutral/excluded,False,"functional/procedural content category (Klunder et al. 2020, Table 1); not an affect-display code."
act4teams-SHORT,names,names solution,neutral/excluded,False,"functional/procedural content category (Klunder et al. 2020, Table 1); not an affect-display code."
act4teams-SHORT,links,links solution,neutral/excluded,False,"functional/procedural content category (Klunder et al. 2020, Table 1); not an affect-display code."
act4teams-SHORT,linkc,links to consequence,neutral/excluded,False,"functional/procedural content category (Klunder et al. 2020, Table 1); not an affect-display code."
act4teams-SHORT,proact,proactivity,neutral/excluded,False,"functional/procedural content category (Klunder et al. 2020, Table 1); not an affect-display code."
act4teams-SHORT,struct,structuring,neutral/excluded,False,"functional/procedural content category (Klunder et al. 2020, Table 1); not an affect-display code."
act4teams-SHORT,ginfo,gives information,neutral/excluded,False,"functional/procedural content category (Klunder et al. 2020, Table 1); not an affect-display code."
act4teams-SHORT,ktrans,knowledge transfer,neutral/excluded,False,"functional/procedural content category (Klunder et al. 2020, Table 1); not an affect-display code."
act4teams-SHORT,cprod,"counterproductivity (backbiting, complaining, blaming)","negative-adjacent (excluded, reported separately)",False,"Klunder et al. (2020) define this as behavioral/interpersonal conduct (backbiting, putting others down, complaining, blaming), not a discrete affect-display act in the Bales/act4teams-full sense; borderline - reported as an exploratory corroborator, NOT in the confirmatory family (would double-count with 'neg'/'bantag')."
act4teams-SHORT,coop,"cooperation (praising, thanking, being nice)","positive-adjacent (excluded, reported separately)",False,"Klunder et al. (2020) define this as functional politeness/relationship-building conduct, not a discrete affect-display act; borderline - reported as an exploratory corroborator, NOT in the confirmatory family (would double-count with 'pos'/'bsolid'/'bagree')."
ISO 24617-2,qset,set-question,neutral/excluded,False,"dialogue-act / turn-management category (communicative function), not an affect-valence code; 'feedback' here means grounding/acknowledgment, not emotional tone."
ISO 24617-2,qprop,propositional question,neutral/excluded,False,"dialogue-act / turn-management category (communicative function), not an affect-valence code; 'feedback' here means grounding/acknowledgment, not emotional tone."
ISO 24617-2,directive,directive,neutral/excluded,False,"dialogue-act / turn-management category (communicative function), not an affect-valence code; 'feedback' here means grounding/acknowledgment, not emotional tone."
ISO 24617-2,commissive,commissive,neutral/excluded,False,"dialogue-act / turn-management category (communicative function), not an affect-valence code; 'feedback' here means grounding/acknowledgment, not emotional tone."
ISO 24617-2,feedback,feedback (grounding/acknowledgment),neutral/excluded,False,"dialogue-act / turn-management category (communicative function), not an affect-valence code; 'feedback' here means grounding/acknowledgment, not emotional tone."
"act4teams (full, 4-facet)",pos,positive socio-emotional,positive,True,"Direct facet-level positive-socioemotional code from the full act4teams scheme (Lehmann-Willenbrock & Kauffeld 2018), coded independently from the Bales pass; corr(A,B)=.65, kappa=.37 (kappa deflated by near-ubiquity - corr is the better reliability index; ACT4TEAMS_METRIC_MAP.md)."
"act4teams (full, 4-facet)",neg,negative socio-emotional,negative,True,"Direct facet-level negative-socioemotional code from the full act4teams scheme, coded independently from the Bales pass; corr(A,B)=.45, kappa=.45 (ACT4TEAMS_METRIC_MAP.md)."
"lexical (transcript, coding-free)",laughter_tokens,typed laughter conventions (haha/kkk+/rsrs+/huehue+/hehe),positive (attempted),NULL DATA,"Searched all 34 transcripts (17,488 utterances): ZERO matches for any Brazilian-Portuguese typed-laughter convention. This is an ASR transcript of SPOKEN audio, not a chat/text log - paralinguistic laughter is not lexicalized by the transcription pipeline. Excluded from the confirmatory family (no variance to test); reported as a documented negative/boundary finding, not silently dropped. See lexical_markers.py diagnostic output."
"lexical (transcript, coding-free)",exclaim_density,exclamation-mark density,positive (attempted),NULL DATA,"Searched all 34 transcripts: 1 exclamation mark across 17,488 utterances. ASR transcription does not reliably preserve exclamative punctuation for spoken audio. Excluded from the confirmatory family (no variance to test); reported as a documented negative/boundary finding."
